iter	Logloss
0	0.6500802615
1	0.6146569227
2	0.5841153431
3	0.5611831401
4	0.5398933501
5	0.5255934615
6	0.5120090508
7	0.5025099674
8	0.4938391199
9	0.4877421172
10	0.4819941707
11	0.4778801135
12	0.4734675666
13	0.470791963
14	0.4683932416
15	0.4653777627
16	0.4624854544
17	0.4609498259
18	0.4585193561
19	0.4563236029
20	0.453014017
21	0.4513149304
22	0.4498365584
23	0.4485045249
24	0.4470574617
25	0.4449446736
26	0.4442657326
27	0.4433272249
28	0.4423143169
29	0.4413439704
30	0.4408791787
31	0.4399823073
32	0.4390869989
33	0.4385912813
34	0.4378761241
35	0.4365296071
36	0.435989356
37	0.4356344517
38	0.4349306978
39	0.4337572717
40	0.4324751761
41	0.4318974893
42	0.4315831622
43	0.4312080212
44	0.4305123176
45	0.4302713131
46	0.4298754912
47	0.429139067
48	0.4283353877
49	0.4280347037
50	0.4275570525
51	0.427096872
52	0.426819886
53	0.4265123745
54	0.4263716576
55	0.4260925765
56	0.4258866657
57	0.4254736776
58	0.4250015326
59	0.4244910042
60	0.4240202864
61	0.4238559901
62	0.4233312241
63	0.42291939
64	0.4226979319
65	0.4224652884
66	0.4221681331
67	0.4218689091
68	0.4215599218
69	0.4210549664
70	0.4201645725
71	0.4199453324
72	0.4193914411
73	0.4188610981
74	0.4185198895
75	0.4183847765
76	0.4182558403
77	0.4179315631
78	0.4176234769
79	0.4174566696
80	0.4172943727
81	0.4171565767
82	0.416814882
83	0.4164361911
84	0.4163144235
85	0.4161649848
86	0.4160393221
87	0.4156438829
88	0.4152546616
89	0.4146753455
90	0.4143576843
91	0.4142033047
92	0.4139947937
93	0.4135684275
94	0.4133735831
95	0.4129497056
96	0.4127353064
97	0.4125496552
98	0.4123128871
99	0.412045288
100	0.4116658329
101	0.4111219119
102	0.4108590202
103	0.4105936803
104	0.410337931
105	0.4101539221
106	0.4097870325
107	0.4094922252
108	0.4092968814
109	0.4089845886
110	0.4087808233
111	0.4086244706
112	0.4084459184
113	0.4081479401
114	0.4078464717
115	0.4076694977
116	0.4074590987
117	0.4072129611
118	0.4069894581
119	0.4067759886
120	0.4065813783
121	0.4063301201
122	0.4061417549
123	0.4059663549
124	0.405752254
125	0.4056154488
126	0.4054602692
127	0.4051540238
128	0.4049769498
129	0.40473429
130	0.4045749765
131	0.4044174064
132	0.4041655106
133	0.4039151476
134	0.4037188619
135	0.4034841946
136	0.4032447423
137	0.4031478831
138	0.4029596423
139	0.4028284596
140	0.4027027541
141	0.402586889
142	0.402369099
143	0.402241638
144	0.4021053987
145	0.401881628
146	0.4016216961
147	0.4013642855
148	0.4012141322
149	0.4010552344
150	0.4007945696
151	0.4005985776
152	0.4005049901
153	0.4004290478
154	0.4001850457
155	0.40001464
156	0.3998422866
157	0.399654192
158	0.3994136777
159	0.3992066549
160	0.3989844173
161	0.3987484444
162	0.398581645
163	0.3983974363
164	0.3981059671
165	0.3980100977
166	0.397867107
167	0.3977509074
168	0.3976089883
169	0.3974196079
170	0.3972974759
171	0.3971945672
172	0.3970398721
173	0.3968978033
174	0.3966585047
175	0.39650689
176	0.3963195068
177	0.3962288191
178	0.3960894146
179	0.3959490466
180	0.3956890369
181	0.3955929658
182	0.3954956331
183	0.3953213498
184	0.3951763913
185	0.395106957
186	0.3949188616
187	0.3946783552
188	0.3945802021
189	0.394363112
190	0.3942369269
191	0.3941333963
192	0.3939690616
193	0.3938844381
194	0.3937785006
195	0.3935950917
196	0.3934544454
197	0.3931691182
198	0.3929944985
199	0.3929165251
200	0.392792674
201	0.3926905768
202	0.3924518499
203	0.3923509745
204	0.3922435012
205	0.3920916352
206	0.3920301822
207	0.3919321516
208	0.3917376756
209	0.3916635317
210	0.3915173263
211	0.3913705662
212	0.3913251182
213	0.3912281359
214	0.3911601393
215	0.3910693485
216	0.3909126133
217	0.3906874489
218	0.390507143
219	0.3904305583
220	0.3902795415
221	0.3901671982
222	0.3900524065
223	0.390003487
224	0.3899103974
225	0.3898101507
226	0.3896227165
227	0.3894805049
228	0.3892957066
229	0.3891500753
230	0.3890312922
231	0.3889036223
232	0.3888342037
233	0.3887176023
234	0.3886093561
235	0.3885288854
236	0.3884734614
237	0.3884092587
238	0.3883010899
239	0.3881988887
240	0.3880880836
241	0.3880151047
242	0.3879353844
243	0.3878185831
244	0.3877850601
245	0.3876616355
246	0.3875719839
247	0.3874606827
248	0.3873597727
249	0.3872178794
250	0.3870771986
251	0.3869051363
252	0.3867607338
253	0.3867057154
254	0.3865995938
255	0.3865617185
256	0.3864716337
257	0.3863666133
258	0.3862538343
259	0.3862015901
260	0.3861390572
261	0.3860612271
262	0.3859015864
263	0.3857596201
264	0.3857021658
265	0.3856788442
266	0.3856204668
267	0.3854951141
268	0.3853696399
269	0.3852712829
270	0.385183648
271	0.3850762988
272	0.3849728875
273	0.3848906285
274	0.3847769552
275	0.3847594719
276	0.3846422063
277	0.3845762691
278	0.3844301335
279	0.3843250679
280	0.3842357853
281	0.3841252243
282	0.3840541118
283	0.3839547448
284	0.3839011009
285	0.3837768678
286	0.3837147437
287	0.3836266585
288	0.3835378734
289	0.3834488125
290	0.3833591307
291	0.3832161978
292	0.3831104139
293	0.3829604533
294	0.3828742528
295	0.382830007
296	0.3827832229
297	0.3827514299
298	0.3826618652
299	0.3826094087
300	0.3825337017
301	0.3824663924
302	0.3824015583
303	0.3823897289
304	0.3822485643
305	0.3821425064
306	0.3820791051
307	0.3819572454
308	0.3818420105
309	0.3817787439
310	0.3816355932
311	0.3815460703
312	0.3814043011
313	0.3813687609
314	0.3812021712
315	0.3810800374
316	0.3810218321
317	0.3809941311
318	0.3809191826
319	0.3808797693
320	0.3807717156
321	0.3807390159
322	0.3806859028
323	0.3806135148
324	0.3805641578
325	0.380480232
326	0.3803987387
327	0.3802321121
328	0.3801761255
329	0.3800872304
330	0.3800114719
331	0.3799199544
332	0.3798690377
333	0.3797876933
334	0.3797135728
335	0.3796771212
336	0.3795581153
337	0.3794222328
338	0.3793767267
339	0.3792980725
340	0.3792570079
341	0.3791928525
342	0.3790934294
343	0.3790686587
344	0.3790025893
345	0.3789380766
346	0.3788681241
347	0.3788190131
348	0.378758172
349	0.3786667101
350	0.3786568248
351	0.3786245426
352	0.3785892122
353	0.3784935577
354	0.3784061004
355	0.3783263866
356	0.3782107814
357	0.3781628879
358	0.3780674001
359	0.3780096068
360	0.3779609254
361	0.3779033181
362	0.3777962263
363	0.3777143612
364	0.3776439324
365	0.3776057647
366	0.377480873
367	0.3773393701
368	0.3772784305
369	0.3772214056
370	0.3771497014
371	0.3770605765
372	0.3770040958
373	0.3769722666
374	0.3769288671
375	0.3768652349
376	0.3768395329
377	0.3768239968
378	0.3767665096
379	0.3766994974
380	0.3766168566
381	0.3765857784
382	0.376567242
383	0.376547778
384	0.3764624334
385	0.3764440526
386	0.3763787536
387	0.3763313692
388	0.3762249619
389	0.3761932899
390	0.3761482004
391	0.3761126618
392	0.3760430352
393	0.3760258999
394	0.3759513948
395	0.3759053292
396	0.3758722973
397	0.3758328424
398	0.3758187916
399	0.3756756375
400	0.3756384243
401	0.3756008285
402	0.3755516951
403	0.3755077329
404	0.3754161693
405	0.375344229
406	0.3753087356
407	0.375297704
408	0.3752309591
409	0.3751708346
410	0.3751167013
411	0.3751057237
412	0.3750427307
413	0.3750227236
414	0.3749654767
415	0.3749337589
416	0.3749041619
417	0.3748584358
418	0.3747899106
419	0.3747462535
420	0.3747062975
421	0.3746647889
422	0.3746399678
423	0.3745991914
424	0.3745319846
425	0.3744956046
426	0.374469318
427	0.3743627239
428	0.3743454699
429	0.3742846546
430	0.3742367156
431	0.3741413155
432	0.3740532247
433	0.3739963283
434	0.3739474632
435	0.3739021626
436	0.3738799967
437	0.3738040926
438	0.3737994044
439	0.3737699855
440	0.3737198921
441	0.3736811715
442	0.3736472675
443	0.3736360955
444	0.3736091823
445	0.3735520191
446	0.3734915998
447	0.3734574663
448	0.3734477757
449	0.3733991565
450	0.3733290387
451	0.3732601029
452	0.3732184551
453	0.3731637439
454	0.3731153265
455	0.3730728674
456	0.3730322311
457	0.3729910928
458	0.3729567726
459	0.3729194757
460	0.3728855396
461	0.3728727264
462	0.3727848592
463	0.3727481919
464	0.3727123994
465	0.3726846719
466	0.3726411109
467	0.3725806346
468	0.3725466204
469	0.3725057916
470	0.3724602864
471	0.3724459587
472	0.3724312633
473	0.3723735606
474	0.3723322323
475	0.372268002
476	0.3722057544
477	0.37218841
478	0.3721265395
479	0.3720943342
480	0.372061943
481	0.372006351
482	0.3719680815
483	0.3719279104
484	0.3719213186
485	0.3718755829
486	0.3718286721
487	0.371779877
488	0.371753893
489	0.3717277565
490	0.3716677994
491	0.3716329138
492	0.3716110764
493	0.3715702979
494	0.3715171885
495	0.371480441
496	0.3714204222
497	0.3713433334
498	0.3712671243
499	0.3711645533
