iter	Passed	Remaining
0	57	28678
1	59	14834
2	61	10202
3	63	7911
4	66	6540
5	68	5624
6	70	4963
7	72	4467
8	74	4079
9	76	3772
10	78	3508
11	80	3292
12	82	3106
13	85	2952
14	86	2811
15	88	2689
16	90	2583
17	92	2489
18	95	2405
19	97	2329
20	99	2261
21	101	2199
22	103	2140
23	105	2087
24	107	2036
25	109	1991
26	111	1947
27	113	1906
28	114	1867
29	116	1832
30	118	1798
31	120	1769
32	122	1740
33	126	1729
34	128	1702
35	130	1676
36	131	1650
37	134	1629
38	136	1607
39	138	1588
40	140	1569
41	142	1551
42	144	1534
43	146	1517
44	148	1499
45	150	1483
46	152	1467
47	154	1451
48	156	1436
49	158	1422
50	160	1412
51	162	1399
52	164	1387
53	166	1375
54	168	1364
55	170	1352
56	172	1340
57	174	1330
58	176	1319
59	178	1311
60	181	1302
61	183	1293
62	185	1285
63	187	1276
64	189	1267
65	191	1259
66	193	1250
67	195	1242
68	197	1234
69	199	1225
70	201	1217
71	203	1209
72	205	1202
73	207	1196
74	209	1189
75	211	1182
76	213	1175
77	215	1168
78	218	1162
79	220	1158
80	224	1161
81	227	1157
82	230	1155
83	232	1149
84	233	1142
85	235	1135
86	237	1129
87	239	1122
88	242	1117
89	243	1111
90	245	1105
91	247	1099
92	249	1093
93	251	1087
94	253	1081
95	255	1076
96	257	1070
97	259	1065
98	261	1059
99	263	1054
100	265	1048
101	267	1044
102	269	1039
103	271	1034
104	273	1029
105	275	1024
106	277	1019
107	279	1014
108	281	1010
109	283	1005
110	285	1001
111	288	997
112	290	993
113	292	989
114	294	985
115	296	981
116	298	978
117	301	975
118	303	972
119	306	969
120	308	965
121	310	960
122	312	958
123	314	954
124	316	950
125	318	946
126	320	942
127	322	938
128	324	934
129	326	930
130	328	926
131	330	922
132	332	918
133	334	914
134	336	910
135	338	907
136	340	903
137	343	899
138	345	896
139	347	892
140	349	889
141	351	885
142	353	881
143	355	878
144	357	874
145	359	871
146	361	867
147	363	864
148	365	860
149	367	857
150	369	853
151	371	850
152	373	846
153	375	843
154	377	840
155	379	836
156	381	833
157	383	829
158	385	826
159	387	823
160	389	820
161	391	816
162	395	817
163	397	813
164	399	810
165	401	807
166	403	804
167	405	800
168	407	798
169	409	795
170	411	792
171	413	789
172	415	785
173	417	782
174	419	779
175	421	776
176	423	773
177	425	770
178	427	767
179	429	763
180	431	760
181	433	758
182	436	755
183	438	752
184	440	749
185	442	746
186	444	743
187	446	740
188	448	737
189	450	734
190	452	731
191	454	728
192	456	726
193	458	723
194	460	720
195	462	718
196	464	715
197	467	712
198	469	709
199	471	706
200	473	704
201	475	701
202	477	698
203	479	695
204	481	692
205	483	689
206	485	687
207	487	684
208	489	681
209	491	678
210	493	676
211	495	673
212	497	670
213	500	668
214	502	665
215	504	662
216	506	659
217	508	657
218	510	654
219	512	652
220	514	649
221	516	646
222	518	643
223	520	641
224	522	638
225	524	635
226	526	633
227	528	630
228	530	627
229	532	624
230	534	622
231	536	619
232	538	616
233	540	614
234	542	611
235	543	608
236	546	606
237	549	605
238	553	604
239	555	602
240	557	599
241	559	596
242	560	593
243	562	590
244	564	587
245	566	584
246	568	582
247	570	579
248	572	576
249	574	574
250	576	571
251	578	569
252	580	566
253	582	564
254	584	561
255	586	558
256	588	556
257	590	553
258	592	551
259	594	548
260	596	546
261	598	543
262	600	541
263	602	538
264	604	536
265	606	533
266	608	530
267	610	528
268	612	525
269	614	523
270	616	520
271	618	518
272	620	515
273	622	513
274	624	510
275	626	508
276	628	506
277	630	503
278	632	501
279	634	498
280	636	496
281	639	494
282	641	491
283	643	489
284	645	486
285	646	484
286	648	481
287	650	479
288	652	476
289	654	474
290	656	471
291	658	469
292	660	466
293	662	464
294	664	462
295	667	459
296	669	457
297	671	455
298	673	452
299	675	450
300	677	447
301	679	445
302	681	443
303	684	441
304	686	438
305	689	436
306	691	434
307	693	432
308	695	429
309	697	427
310	699	424
311	701	422
312	703	420
313	705	417
314	707	415
315	709	412
316	711	410
317	713	408
318	715	406
319	717	403
320	719	401
321	722	399
322	724	396
323	726	394
324	728	392
325	730	390
326	732	387
327	735	385
328	737	383
329	739	380
330	741	378
331	743	376
332	745	374
333	748	371
334	750	369
335	752	367
336	754	364
337	756	362
338	758	360
339	760	357
340	762	355
341	764	353
342	766	350
343	768	348
344	770	346
345	772	343
346	774	341
347	776	339
348	778	336
349	780	334
350	782	332
351	784	329
352	787	328
353	789	325
354	791	323
355	793	321
356	795	318
357	797	316
358	799	314
359	801	311
360	803	309
361	806	307
362	808	304
363	810	302
364	812	300
365	814	298
366	815	295
367	817	293
368	819	291
369	821	288
370	823	286
371	825	284
372	827	281
373	829	279
374	831	277
375	833	274
376	835	272
377	837	270
378	839	268
379	841	265
380	843	263
381	845	261
382	847	258
383	849	256
384	851	254
385	853	251
386	855	249
387	857	247
388	859	245
389	860	242
390	862	240
391	865	238
392	866	236
393	868	233
394	870	231
395	873	229
396	874	226
397	876	224
398	878	222
399	880	220
400	882	217
401	884	215
402	886	213
403	889	211
404	891	209
405	893	206
406	895	204
407	897	202
408	899	200
409	901	197
410	903	195
411	905	193
412	907	191
413	909	188
414	911	186
415	913	184
416	915	182
417	917	179
418	919	177
419	921	175
420	923	173
421	925	171
422	927	168
423	929	166
424	931	164
425	934	162
426	936	160
427	938	157
428	940	155
429	942	153
430	944	151
431	946	149
432	949	146
433	951	144
434	953	142
435	955	140
436	957	138
437	959	135
438	962	133
439	964	131
440	965	129
441	967	127
442	969	124
443	971	122
444	973	120
445	975	118
446	977	115
447	979	113
448	981	111
449	983	109
450	985	107
451	987	104
452	989	102
453	991	100
454	993	98
455	995	96
456	997	93
457	999	91
458	1001	89
459	1003	87
460	1005	85
461	1007	82
462	1009	80
463	1011	78
464	1013	76
465	1015	74
466	1017	71
467	1019	69
468	1021	67
469	1023	65
470	1025	63
471	1026	60
472	1028	58
473	1030	56
474	1032	54
475	1034	52
476	1036	49
477	1038	47
478	1040	45
479	1042	43
480	1044	41
481	1046	39
482	1048	36
483	1050	34
484	1052	32
485	1054	30
486	1055	28
487	1057	26
488	1059	23
489	1061	21
490	1063	19
491	1065	17
492	1067	15
493	1069	12
494	1071	10
495	1073	8
496	1075	6
497	1077	4
498	1079	2
499	1081	0
